date,GLD,SLV
2010-01-04,109.8,17.23
2010-01-05,109.7,17.51
2010-01-06,111.51,17.86
2010-01-07,110.82,17.889999
2010-01-08,111.37,18.15
2010-01-11,112.85,18.209999
2010-01-12,110.49,17.91
2010-01-13,111.54,18.27
2010-01-14,112.03,18.309999
2010-01-15,110.86,18.049999
2010-01-19,111.52,18.45
2010-01-20,108.94,17.57
2010-01-21,107.37,17.07
2010-01-22,107.17,16.78
2010-01-25,107.48,16.83
2010-01-26,107.56,16.43
2010-01-27,106.528,16.26
2010-01-28,106.48,15.92
2010-01-29,105.96,15.9
2010-02-01,108.35,16.36
2010-02-02,109.13,16.35
2010-02-03,108.7,16.07
2010-02-04,104.37,15.04
2010-02-05,104.68,14.9
2010-02-08,104.04,14.75
2010-02-09,105.41,15.12
2010-02-10,105.12,14.95
2010-02-11,107.13,15.37
2010-02-12,107.04,15.24
2010-02-16,109.62,15.82
2010-02-17,109.25,15.74
2010-02-18,109.98,15.88
2010-02-19,109.47,15.97
2010-02-22,109.07,15.9
2010-02-23,107.89,15.57
2010-02-24,107.36,15.62
2010-02-25,108.31,15.77
2010-02-26,109.43,16.07
2010-03-01,109.43,16.11
2010-03-02,111.02,16.559999
2010-03-03,111.63,16.82
2010-03-04,110.83,16.79
2010-03-05,110.81,17.01
2010-03-08,109.88,16.889999
2010-03-09,109.718,16.92
2010-03-10,108.47,16.66
2010-03-11,108.6,16.809999
2010-03-12,107.95,16.76
2010-03-15,108.36,16.74
2010-03-16,110.4,17.049999
2010-03-17,109.59,17.08
2010-03-18,110.34,17.08
2010-03-19,108.28,16.65
2010-03-22,107.75,16.6
2010-03-23,108.32,16.719999
2010-03-24,106.3,16.29
2010-03-25,106.78,16.32
2010-03-26,108.59,16.61
2010-03-29,108.75,17.04
2010-03-30,107.97,16.95
2010-03-31,108.95,17.139999
2010-04-01,110.26,17.54
2010-04-05,110.89,17.75
2010-04-06,111.03,17.61
2010-04-07,112.49,17.77
2010-04-08,112.65,17.719999
2010-04-09,113.64,18.01
2010-04-12,113.01,17.799999
2010-04-13,112.69,17.84
2010-04-14,113.03,18.07
2010-04-15,113.65,18.07
2010-04-16,111.24,17.41
2010-04-19,111.15,17.379999
2010-04-20,111.46,17.48
2010-04-21,112.31,17.77
2010-04-22,111.84,17.639999
2010-04-23,113.19,17.91
2010-04-26,112.75,17.93
2010-04-27,114.63,17.879999
2010-04-28,114.31,17.75
2010-04-29,114.28,18.139999
2010-04-30,115.36,18.26
2010-05-03,115.73,18.42
2010-05-04,114.87,17.59
2010-05-05,115.09,17.11
2010-05-06,118.486,17.32
2010-05-07,118.27,18.0
2010-05-10,117.57,18.11
2010-05-11,120.656,18.95
2010-05-12,121.4,19.12
2010-05-13,120.56,18.99
2010-05-14,120.37,18.93
2010-05-17,119.36,18.53
2010-05-18,119.49,18.57
2010-05-19,116.63,17.87
2010-05-20,115.84,17.35
2010-05-21,115.22,17.29
2010-05-24,116.84,17.559999
2010-05-25,117.36,17.54
2010-05-26,118.47,17.74
2010-05-27,118.69,18.12
2010-05-28,118.88,18.03
2010-06-01,119.91,18.02
2010-06-02,119.78,17.978
2010-06-03,117.96,17.639999
2010-06-04,119.19,17.049999
2010-06-07,121.49,17.809999
2010-06-08,121.0,17.889999
2010-06-09,120.56,17.76
2010-06-10,118.97,17.86
2010-06-11,120.01,17.85
2010-06-14,119.6,17.86
2010-06-15,120.99,18.19
2010-06-16,120.33,18.08
2010-06-17,121.9,18.33
2010-06-18,122.83,18.75
2010-06-21,120.39,18.33
2010-06-22,121.45,18.42
2010-06-23,120.95,18.18
2010-06-24,121.3,18.26
2010-06-25,122.76,18.67
2010-06-28,121.09,18.379999
2010-06-29,121.27,18.129999
2010-06-30,121.68,18.209999
2010-07-01,117.04,17.44
2010-07-02,118.49,17.459999
2010-07-06,116.51,17.4
2010-07-07,117.73,17.65
2010-07-08,117.21,17.61
2010-07-09,118.36,17.73
2010-07-12,117.34,17.62
2010-07-13,118.36,17.82
2010-07-14,118.3,17.959999
2010-07-15,118.23,17.95
2010-07-16,116.67,17.49
2010-07-19,115.73,17.27
2010-07-20,116.65,17.33
2010-07-21,115.85,17.309999
2010-07-22,116.86,17.709999
2010-07-23,116.09,17.719999
2010-07-26,115.52,17.78
2010-07-27,113.51,17.299999
2010-07-28,113.78,17.16
2010-07-29,114.288,17.24
2010-07-30,115.49,17.58
2010-08-02,115.54,17.959999
2010-08-03,115.99,18.02
2010-08-04,116.72,17.93
2010-08-05,116.98,17.959999
2010-08-06,117.84,18.07
2010-08-09,117.4,17.959999
2010-08-10,117.73,17.969999
2010-08-11,117.34,17.53
2010-08-12,118.77,17.69
2010-08-13,118.74,17.74
2010-08-16,119.73,18.0
2010-08-17,119.75,18.12
2010-08-18,120.22,18.02
2010-08-19,120.39,17.92
2010-08-20,119.97,17.59
2010-08-23,119.78,17.61
2010-08-24,120.36,17.99
2010-08-25,121.36,18.54
2010-08-26,120.96,18.59
2010-08-27,121.01,18.7
2010-08-30,120.91,18.629999
2010-08-31,122.08,18.93
2010-09-01,121.69,18.959999
2010-09-02,122.29,19.28
2010-09-03,121.86,19.42
2010-09-07,122.7,19.36
2010-09-08,122.71,19.5
2010-09-09,121.56,19.32
2010-09-10,121.73,19.42
2010-09-13,121.62,19.54
2010-09-14,124.02,20.049999
2010-09-15,123.94,20.17
2010-09-16,124.63,20.35
2010-09-17,124.54,20.29
2010-09-20,124.87,20.29
2010-09-21,126.01,20.59
2010-09-22,126.2,20.709999
2010-09-23,126.3,20.66
2010-09-24,126.69,21.01
2010-09-27,126.72,20.99
2010-09-28,127.85,21.29
2010-09-29,127.95,21.4
2010-09-30,127.91,21.309999
2010-10-01,128.91,21.65
2010-10-04,128.46,21.51
2010-10-05,130.99,22.34
2010-10-06,131.81,22.69
2010-10-07,130.37,22.02
2010-10-08,131.66,22.73
2010-10-11,132.29,22.78
2010-10-12,131.96,22.84
2010-10-13,134.07,23.49
2010-10-14,134.75,24.028
2010-10-15,133.68,23.75
2010-10-18,134.28,23.959999
2010-10-19,130.11,22.84
2010-10-20,131.32,23.33
2010-10-21,129.47,22.59
2010-10-22,129.73,22.76
2010-10-25,130.85,23.1
2010-10-26,130.88,23.28
2010-10-27,129.52,23.068
2010-10-28,131.24,23.43
2010-10-29,132.62,24.17
2010-11-01,131.92,24.07
2010-11-02,132.49,24.309999
2010-11-03,131.57,24.249
2010-11-04,136.03,25.629999
2010-11-05,136.38,26.2
2010-11-08,137.78,27.15
2010-11-09,135.59,26.18
2010-11-10,137.24,26.719999
2010-11-11,137.66,27.11
2010-11-12,133.69,25.518
2010-11-15,132.42,24.93
2010-11-16,130.968,24.93
2010-11-17,130.38,25.0
2010-11-18,132.088,26.35
2010-11-19,132.2,26.74
2010-11-22,133.48,27.17
2010-11-23,134.41,26.865
2010-11-24,134.18,26.94
2010-11-26,133.11,26.129999
2010-11-29,133.508,26.549999
2010-11-30,135.42,27.44
2010-12-01,135.38,27.809999
2010-12-02,135.2,27.93
2010-12-03,138.07,28.5975
2010-12-06,139.11,29.51
2010-12-07,136.5,28.08
2010-12-08,134.79,27.7
2010-12-09,135.37,28.03
2010-12-10,135.408,27.98
2010-12-13,136.05,28.87
2010-12-14,136.18,28.809999
2010-12-15,134.7,28.08
2010-12-16,133.81,28.28
2010-12-17,134.2,28.5075
2010-12-20,135.11,28.709999
2010-12-21,135.32,28.639999
2010-12-22,135.05,28.57
2010-12-23,134.66,28.61
2010-12-27,135.02,28.59
2010-12-28,137.22,29.53
2010-12-29,137.71,29.87
2010-12-30,137.03,29.76
2010-12-31,138.72,30.18
2011-01-03,138.0,29.98
2011-01-04,134.75,29.08
2011-01-05,134.37,28.61
2011-01-06,133.83,28.42
2011-01-07,133.58,28.1
2011-01-10,134.12,28.29
2011-01-11,134.91,28.889999
2011-01-12,135.46,29.0
2011-01-13,134.05,28.0
2011-01-14,132.69,27.74
2011-01-18,133.43,28.15
2011-01-19,133.72,28.08
2011-01-20,131.2,26.85
2011-01-21,131.03,26.83
2011-01-24,130.36,26.36
2011-01-25,130.1,26.23
2011-01-26,131.16,26.889999
2011-01-27,127.925,26.29
2011-01-28,130.28,27.299999
2011-01-31,129.87,27.389999
2011-02-01,130.8,27.87
2011-02-02,130.45,27.69
2011-02-03,132.2,28.285
2011-02-04,131.66,28.4
2011-02-07,131.68,28.66
2011-02-08,133.14,29.639999
2011-02-09,133.07,29.518
2011-02-10,132.85,29.459999
2011-02-11,132.32,29.209999
2011-02-14,132.95,29.959999
2011-02-15,133.97,30.0
2011-02-16,134.1,29.959999
2011-02-17,135.04,31.03
2011-02-18,135.41,31.7875
2011-02-22,136.29,32.259998
2011-02-23,137.51,32.709999
2011-02-24,136.48,31.195
2011-02-25,137.38,32.56
2011-02-28,137.66,33.11
2011-03-01,140.03,33.869999
2011-03-02,139.917,33.84
2011-03-03,138.09,33.415
2011-03-04,139.35,34.689999
2011-03-07,139.72,35.23
2011-03-08,139.36,35.18
2011-03-09,139.41,35.27
2011-03-10,137.77,34.36
2011-03-11,138.22,35.029
2011-03-14,138.86,35.009998
2011-03-15,136.27,33.61
2011-03-16,136.24,33.369999
2011-03-17,136.97,33.509998
2011-03-18,138.37,34.27
2011-03-21,139.14,35.299999
2011-03-22,139.05,35.5375
2011-03-23,140.34,36.47
2011-03-24,139.22,36.119999
2011-03-25,139.26,36.389999
2011-03-28,138.54,36.189999
2011-03-29,138.21,36.169998
2011-03-30,138.67,36.529999
2011-03-31,139.86,36.77
2011-04-01,139.2,36.86
2011-04-04,139.84,37.58
2011-04-05,142.05,38.34
2011-04-06,142.38,38.619999
2011-04-07,142.51,38.73
2011-04-08,143.66,39.86
2011-04-11,142.64,39.209999
2011-04-12,141.61,39.09
2011-04-13,141.9,39.57
2011-04-14,143.81,41.07
2011-04-15,145.05,41.84
2011-04-18,145.93,42.419
2011-04-19,145.93,43.0
2011-04-20,146.5,44.119999
2011-04-21,146.74,45.535
2011-04-25,146.87,45.83
2011-04-26,146.38,44.029999
2011-04-27,149.2,47.0
2011-04-28,149.82,47.259998
2011-04-29,152.37,46.88
2011-05-02,150.41,42.83
2011-05-03,149.88,40.58
2011-05-04,147.73,38.27
2011-05-05,143.47,33.720001
2011-05-06,145.3,34.48
2011-05-09,147.38,36.98
2011-05-10,147.9,37.52
2011-05-11,146.54,34.389999
2011-05-12,146.59,33.32
2011-05-13,145.63,34.389999
2011-05-16,145.37,32.849998
2011-05-17,144.74,33.09
2011-05-18,145.6,34.23
2011-05-19,145.65,34.259998
2011-05-20,147.49,34.18
2011-05-23,147.83,34.27
2011-05-24,148.59,35.77
2011-05-25,148.58,36.919998
2011-05-26,148.22,36.509998
2011-05-27,149.7,37.029999
2011-05-31,149.64,37.599998
2011-06-01,149.91,35.75
2011-06-02,149.5,35.29
2011-06-03,150.22,35.34
2011-06-06,150.48,35.709999
2011-06-07,150.42,36.119999
2011-06-08,149.81,36.029999
2011-06-09,150.56,36.669998
2011-06-10,149.24,35.25
2011-06-13,147.77,33.869999
2011-06-14,148.67,34.669998
2011-06-15,149.12,34.88
2011-06-16,148.97,34.65
2011-06-17,149.94,34.95
2011-06-20,150.03,35.09
2011-06-21,150.76,35.509998
2011-06-22,150.99,35.5
2011-06-23,148.339,34.369999
2011-06-24,146.26,33.36
2011-06-27,145.73,32.63
2011-06-28,146.24,33.0
2011-06-29,147.18,34.009998
2011-06-30,146.0,33.84
2011-07-01,144.93,33.0
2011-07-05,147.63,34.63
2011-07-06,148.91,35.099998
2011-07-07,149.15,35.5
2011-07-08,150.25,35.75
2011-07-11,151.59,34.9
2011-07-12,152.77,35.2
2011-07-13,154.14,37.23
2011-07-14,154.54,37.41
2011-07-15,155.2,38.24
2011-07-18,156.57,39.47
2011-07-19,154.66,38.009998
2011-07-20,156.02,39.119999
2011-07-21,154.83,38.31
2011-07-22,156.12,39.07
2011-07-25,157.34,39.31
2011-07-26,157.77,39.889999
2011-07-27,157.19,39.169998
2011-07-28,157.32,38.759998
2011-07-29,158.29,38.849998
2011-08-01,157.72,38.29
2011-08-02,161.52,39.82
2011-08-03,161.49,40.549999
2011-08-04,160.64,37.61
2011-08-05,161.75,37.32
2011-08-08,167.119,37.97
2011-08-09,168.61,36.32
2011-08-10,174.58,38.439999
2011-08-11,170.75,37.799999
2011-08-12,169.97,38.119999
2011-08-15,171.8,38.669998
2011-08-16,173.92,39.029999
2011-08-17,174.42,39.33
2011-08-18,177.72,39.66
2011-08-19,179.95,41.68
2011-08-22,184.59,42.63
2011-08-23,177.67,40.63
2011-08-24,171.646,38.83
2011-08-25,172.36,40.0
2011-08-26,177.47,40.41
2011-08-29,173.89,39.72
2011-08-30,179.1,40.4
2011-08-31,177.72,40.45
2011-09-01,177.87,40.52
2011-09-02,183.238,42.18
2011-09-06,182.9,41.049999
2011-09-07,177.08,40.529999
2011-09-08,181.81,41.22
2011-09-09,180.7,40.52
2011-09-12,176.67,39.139999
2011-09-13,178.54,39.869999
2011-09-14,177.21,39.599998
2011-09-15,174.4,38.79
2011-09-16,176.03,39.389999
2011-09-19,173.31,38.65
2011-09-20,175.78,38.83
2011-09-21,173.59,38.56
2011-09-22,169.05,34.919998
2011-09-23,159.8,29.98
2011-09-26,157.58,29.768
2011-09-27,160.63,31.17
2011-09-28,156.22,28.87
2011-09-29,157.7,29.959999
2011-09-30,158.06,28.91
2011-10-03,160.96,29.49
2011-10-04,157.64,29.09
2011-10-05,159.46,29.66
2011-10-06,160.49,31.2
2011-10-07,159.18,30.23
2011-10-10,163.266,31.258
2011-10-11,162.1,31.379999
2011-10-12,163.26,31.77
2011-10-13,162.3,30.94
2011-10-14,163.4,31.34
2011-10-17,162.62,31.04
2011-10-18,161.84,31.33
2011-10-19,159.87,30.23
2011-10-20,157.77,29.73
2011-10-21,159.52,30.48
2011-10-24,161.02,30.87
2011-10-25,165.59,32.43
2011-10-26,167.4,32.5
2011-10-27,169.55,34.099998
2011-10-28,169.62,34.27
2011-10-31,167.34,33.439999
2011-11-01,167.38,32.33
2011-11-02,169.06,33.25
2011-11-03,171.72,33.618
2011-11-04,170.85,33.2
2011-11-07,174.98,34.08
2011-11-08,173.53,34.0
2011-11-09,172.07,33.099998
2011-11-10,171.14,33.139999
2011-11-11,173.96,33.74
2011-11-14,173.2,33.33
2011-11-15,173.36,33.66
2011-11-16,171.51,32.82
2011-11-17,167.1,30.639999
2011-11-18,167.62,31.4
2011-11-21,163.5,30.76
2011-11-22,165.31,31.889999
2011-11-23,164.83,30.93
2011-11-25,163.4,30.2
2011-11-28,166.63,31.27
2011-11-29,166.88,31.03
2011-11-30,170.13,32.0
2011-12-01,169.63,31.858
2011-12-02,169.82,31.65
2011-12-05,167.32,31.049999
2011-12-06,168.18,31.93
2011-12-07,169.4,31.61
2011-12-08,165.976,30.698
2011-12-09,166.4,31.33
2011-12-12,161.99,30.49
2011-12-13,158.45,29.82
2011-12-14,152.89,28.07
2011-12-15,152.33,28.219999
2011-12-16,155.23,28.85
2011-12-19,154.87,27.959999
2011-12-20,156.98,28.77
2011-12-21,157.16,28.6
2011-12-22,156.04,28.36
2011-12-23,156.31,28.28
2011-12-27,154.91,27.87
2011-12-28,151.03,26.27
2011-12-29,150.34,27.068
2011-12-30,151.99,26.94
2012-01-03,155.92,28.83
2012-01-04,156.71,28.389999
2012-01-05,157.78,28.51
2012-01-06,157.2,27.91
2012-01-09,156.5,28.129999
2012-01-10,158.64,29.049999
2012-01-11,159.67,29.139999
2012-01-12,160.38,29.309999
2012-01-13,159.26,28.82
2012-01-17,160.5,29.19
2012-01-18,161.6,29.65
2012-01-19,161.22,29.74
2012-01-20,162.07,31.219999
2012-01-23,163.16,31.389999
2012-01-24,162.01,31.08
2012-01-25,166.42,32.369999
2012-01-26,167.27,32.43
2012-01-27,168.97,32.959999
2012-01-30,168.03,32.529999
2012-01-31,169.31,32.279999
2012-02-01,169.56,32.77
2012-02-02,171.05,33.36
2012-02-03,167.64,32.689999
2012-02-06,167.18,32.68
2012-02-07,169.7,33.259998
2012-02-08,168.5,33.04
2012-02-09,168.02,32.9
2012-02-10,167.14,32.509998
2012-02-13,167.51,32.75
2012-02-14,167.12,32.54
2012-02-15,168.108,32.45
2012-02-16,168.0,32.57
2012-02-17,167.35,32.278
2012-02-21,171.02,33.38
2012-02-22,172.94,33.439999
2012-02-23,173.02,34.4
2012-02-24,172.23,34.369999
2012-02-27,171.7,34.36
2012-02-28,173.49,35.83
2012-02-29,164.286,33.549999
2012-03-01,166.61,34.439999
2012-03-02,166.34,33.759998
2012-03-05,165.65,33.029999
2012-03-06,162.7,32.009998
2012-03-07,163.63,32.41
2012-03-08,165.28,32.849998
2012-03-09,166.3799,33.22
2012-03-12,165.07,32.63
2012-03-13,162.3,32.255
2012-03-14,159.57,31.265
2012-03-15,161.08,31.53
2012-03-16,161.3,31.59
2012-03-19,161.59,31.98
2012-03-20,160.13,31.15
2012-03-21,160.21,31.209999
2012-03-22,159.57,30.54
2012-03-23,161.53,31.24
2012-03-26,164.4,31.935
2012-03-27,163.24,31.585
2012-03-28,161.51,31.15
2012-03-29,161.28,31.35
2012-03-30,162.12,31.379999
2012-04-02,162.94,32.049999
2012-04-03,159.89,31.65
2012-04-04,157.21,30.325
2012-04-05,158.31,30.719999
2012-04-09,159.37,30.59
2012-04-10,161.1,30.79
2012-04-11,161.065,30.65
2012-04-12,162.7,31.42
2012-04-13,160.85,30.549999
2012-04-16,160.46,30.559999
2012-04-17,160.25,30.799999
2012-04-18,159.31,30.639999
2012-04-19,159.43,30.799999
2012-04-20,159.54,30.75
2012-04-23,159.07,29.969999
2012-04-24,159.3,29.93
2012-04-25,159.62,29.86
2012-04-26,161.03,30.18
2012-04-27,161.38,30.37
2012-04-30,161.88,30.11
2012-05-01,161.32,30.059999
2012-05-02,160.59,29.78
2012-05-03,158.97,29.29
2012-05-04,159.47,29.41
2012-05-07,159.08,29.209999
2012-05-08,156.0,28.65
2012-05-09,154.47,28.379999
2012-05-10,154.77,28.25
2012-05-11,153.56,28.08
2012-05-14,151.33,27.42
2012-05-15,149.74,26.86
2012-05-16,149.46,26.368
2012-05-17,152.8,27.24
2012-05-18,154.55,27.79
2012-05-21,154.65,27.68
2012-05-22,152.08,27.34
2012-05-23,151.62,27.049999
2012-05-24,151.41,27.44
2012-05-25,152.68,27.62
2012-05-29,151.02,27.1
2012-05-30,151.91,27.12
2012-05-31,151.62,26.959999
2012-06-01,157.5,27.62
2012-06-04,157.32,27.459999
2012-06-05,157.14,27.719999
2012-06-06,157.21,28.51
2012-06-07,154.5,27.79
2012-06-08,154.73,27.75
2012-06-11,155.36,27.79
2012-06-12,156.4594,28.12
2012-06-13,157.12,28.01
2012-06-14,157.75,27.82
2012-06-15,157.84,27.809999
2012-06-18,157.93,27.87
2012-06-19,157.16,27.639999
2012-06-20,155.97,27.26
2012-06-21,152.015,26.12
2012-06-22,152.64,26.15
2012-06-25,153.76,26.709999
2012-06-26,152.62,26.299999
2012-06-27,152.83,26.129999
2012-06-28,151.05,25.629999
2012-06-29,155.19,26.65
2012-07-02,155.09,26.73
2012-07-03,157.46,27.49
2012-07-05,155.68,26.879999
2012-07-06,153.71,26.299999
2012-07-09,154.04,26.54
2012-07-10,152.15,26.059999
2012-07-11,152.99,26.25
2012-07-12,152.59,26.35
2012-07-13,154.14,26.44
2012-07-16,154.21,26.49
2012-07-17,153.47,26.469999
2012-07-18,153.05,26.42
2012-07-19,153.38,26.42
2012-07-20,153.67,26.48
2012-07-23,153.03,26.209999
2012-07-24,153.52,26.219999
2012-07-25,155.67,26.53
2012-07-26,156.77,26.709999
2012-07-27,157.54,26.955
2012-07-30,157.43,27.36
2012-07-31,156.49,27.12
2012-08-01,155.14,26.54
2012-08-02,154.13,26.309999
2012-08-03,155.55,26.959999
2012-08-06,156.3,27.11
2012-08-07,156.28,27.27
2012-08-08,156.48,27.209999
2012-08-09,156.99,27.29
2012-08-10,157.18,27.26
2012-08-13,155.99,26.92
2012-08-14,155.13,26.959999
2012-08-15,155.63,26.969999
2012-08-16,156.56,27.37
2012-08-17,156.72,27.23
2012-08-20,157.26,27.95
2012-08-21,158.83,28.37
2012-08-22,160.54,28.92
2012-08-23,161.89,29.6
2012-08-24,161.97,29.74
2012-08-27,161.36,29.74
2012-08-28,161.64,29.93
2012-08-29,160.59,29.75
2012-08-30,160.52,29.44
2012-08-31,164.22,30.79
2012-09-04,164.48,31.36
2012-09-05,164.31,31.27
2012-09-06,164.89,31.67
2012-09-07,168.44,32.639999
2012-09-10,167.29,32.29
2012-09-11,167.9,32.41
2012-09-12,167.92,32.209999
2012-09-13,171.31,33.610001
2012-09-14,171.8,33.599998
2012-09-17,170.4,32.99
2012-09-18,171.72,33.709999
2012-09-19,171.74,33.57
2012-09-20,171.47,33.58
2012-09-21,171.96,33.48
2012-09-24,171.05,32.93
2012-09-25,170.77,32.68
2012-09-26,169.81,32.869999
2012-09-27,172.34,33.58
2012-09-28,171.89,33.48
2012-10-01,172.29,33.65
2012-10-02,172.1,33.5
2012-10-03,172.41,33.509998
2012-10-04,173.61,33.93
2012-10-05,172.62,33.45
2012-10-08,172.05,32.97
2012-10-09,170.99,32.83
2012-10-10,170.84,32.95
2012-10-11,171.32,32.9
2012-10-12,170.06,32.45
2012-10-15,168.35,31.66
2012-10-16,169.42,31.93
2012-10-17,169.54,32.119999
2012-10-18,168.7891,31.73
2012-10-19,166.97,31.0945
2012-10-22,167.58,31.389999
2012-10-23,165.4258,30.68
2012-10-24,164.86,30.709999
2012-10-25,166.02,31.12
2012-10-26,165.93,31.08
2012-10-31,166.83,31.27
2012-11-01,166.07,31.219999
2012-11-02,162.6,29.95
2012-11-05,163.23,30.17
2012-11-06,166.3,31.01
2012-11-07,166.49,30.83
2012-11-08,167.99,31.379999
2012-11-09,167.82,31.54
2012-11-12,167.45,31.37
2012-11-13,167.1,31.4
2012-11-14,167.14,31.639999
2012-11-15,166.09,31.53
2012-11-16,165.88,31.209999
2012-11-19,167.87,32.049999
2012-11-20,167.39,32.105
2012-11-21,167.56,32.29
2012-11-23,169.61,32.98
2012-11-26,169.43,33.02
2012-11-27,168.71,32.93
2012-11-28,166.55,32.619999
2012-11-29,167.18,33.13
2012-11-30,166.05,32.36
2012-12-03,166.1267,32.52
2012-12-04,164.42,31.9
2012-12-05,164.12,31.82
2012-12-06,164.5,31.93
2012-12-07,165.16,32.029999
2012-12-10,165.8,32.139999
2012-12-11,165.65,31.91
2012-12-12,165.77,32.369999
2012-12-13,164.37,31.53
2012-12-14,164.13,31.17
2012-12-17,164.44,31.2
2012-12-18,162.08,30.65
2012-12-19,161.69,30.11
2012-12-20,159.73,28.998
2012-12-21,160.33,29.0
2012-12-24,160.62,28.94
2012-12-26,160.78,29.01
2012-12-27,161.16,29.24
2012-12-28,160.54,29.1
2012-12-31,162.02,29.37
2013-01-02,163.17,29.92
2013-01-03,161.2,29.179
2013-01-04,160.44,29.2376
2013-01-07,159.43,29.18
2013-01-08,160.56,29.379999
2013-01-09,160.49,29.35
2013-01-10,161.98,29.78
2013-01-11,161.06,29.48
2013-01-14,161.54,30.04
2013-01-15,162.558,30.36
2013-01-16,162.65,30.45
2013-01-17,163.35,30.67
